k_invA,chi
1.170000000000000107e+01,1.666520122697120326e-02
1.175000000000000000e+01,2.665795372207541147e-02
1.180000000000000071e+01,3.373606987415399966e-02
1.185000000000000142e+01,3.603224622549545259e-02
1.190000000000000036e+01,3.230721504571729824e-02
1.195000000000000107e+01,2.101037100603563718e-02
1.200000000000000000e+01,3.533866344191706477e-03
1.205000000000000071e+01,-9.380963251959778537e-03
1.210000000000000142e+01,-1.292291354567426734e-02
1.215000000000000036e+01,-1.241825144191446503e-02
1.220000000000000107e+01,-1.128682273279562470e-02
1.225000000000000000e+01,-9.972141861229117873e-03
1.230000000000000071e+01,-7.074051031709998813e-03
1.235000000000000142e+01,-3.664916573975496739e-03
1.240000000000000036e+01,-2.695179278176663799e-03
1.245000000000000107e+01,-3.687567161692154125e-03
1.250000000000000000e+01,-3.498639094213251786e-03
1.255000000000000071e+01,-3.270822973540462274e-03
1.260000000000000142e+01,-6.359691298256093216e-03
1.265000000000000036e+01,-1.076191432118112079e-02
1.270000000000000107e+01,-1.051139262473569508e-02
1.275000000000000000e+01,-8.893789569581858276e-03
1.280000000000000071e+01,-6.740967978281232550e-03
1.285000000000000142e+01,-2.528254672556842428e-03
1.290000000000000036e+01,1.097514276884018923e-04
1.295000000000000107e+01,1.413941911138967599e-03
1.300000000000000000e+01,3.900820697857971218e-03
1.305000000000000071e+01,8.736525826218479243e-03
1.310000000000000142e+01,1.245626040228615082e-02
1.315000000000000036e+01,1.207297117092501725e-02
1.320000000000000107e+01,1.035983173216487897e-02
1.325000000000000000e+01,8.257462111081248501e-03
1.330000000000000071e+01,6.842642665623326764e-03
1.335000000000000142e+01,5.943854552970605221e-03
1.340000000000000036e+01,2.876714571057978082e-03
1.345000000000000107e+01,-8.883837673395939601e-04
1.350000000000000000e+01,-2.485158170612639800e-03
1.355000000000000071e+01,-2.893492056286985168e-03
1.360000000000000142e+01,-1.939456747201410113e-03
1.365000000000000036e+01,-6.425714407514262257e-04
1.370000000000000107e+01,-2.671950784186905709e-03
1.375000000000000000e+01,-4.771486991277585320e-03
1.380000000000000071e+01,-3.655379535878034488e-03
1.385000000000000142e+01,-2.655708833069971193e-03
1.390000000000000036e+01,-3.510646942509844121e-03
1.395000000000000107e+01,-5.202710149894558718e-03
1.400000000000000000e+01,-5.458993427447940416e-03
1.405000000000000071e+01,-6.291413461893809698e-03
1.410000000000000142e+01,-7.067304053364998999e-03
1.415000000000000036e+01,-4.836978755882371042e-03
1.420000000000000107e+01,-2.328291364573350369e-03
1.425000000000000000e+01,1.337671587560342306e-03
1.430000000000000071e+01,4.990904949207138237e-03
1.435000000000000142e+01,5.992263640634019201e-03
1.440000000000000036e+01,6.835867562380462323e-03
